,transaction_date,owner,ticker,asset_type,type,amount,senator,lower_amt,mid_amt,upper_amt,5_day_pct_change,15_day_pct_change,30_day_pct_change
1115,2020-02-05,Spouse,EMR,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,-0.008025251655420205,-0.14735207760860244,-0.39051159634589555
1116,2020-02-14,Spouse,CAT,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,-0.04217689814253421,-0.24581491040256856,-0.190448611561064
1117,2020-02-14,Spouse,AFL,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,-0.0628213588878448,-0.28440894018876195,-0.3097278834444394
1119,2020-03-04,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",1001,8000.5,15000,-0.21908211504373837,-0.30024164899812067,-0.3504831320350362
1122,2020-02-18,Spouse,WMT,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,1001,8000.5,15000,error: unknown exception,error: unknown exception,error: unknown exception
1123,2020-02-11,Spouse,NVDA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,0.17473611206516657,0.06267585207167975,-0.0825827230738229
1124,2020-02-11,Spouse,MSFT,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,15001,32500.5,50000,0.018171347573183727,-0.07278346104129063,-0.20125087442237125
1125,2020-02-22,Spouse,HQL,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,1001,8000.5,15000,-0.09018460573204683,-0.198468781113841,-0.1801348911508465
1126,2020-02-22,Spouse,HQL,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,1001,8000.5,15000,-0.09018460573204683,-0.198468781113841,-0.1801348911508465
1127,2020-02-22,Spouse,BSTZ,Stock,Sale,"$1,001 - $15,000",Thomas R Carper,-1001,-8000.5,-15000,-0.10450531795167663,-0.252037821267889,-0.2581150183301813
1128,2020-02-22,Spouse,BSTZ,Stock,Sale,"$1,001 - $15,000",Thomas R Carper,-1001,-8000.5,-15000,-0.10450531795167663,-0.252037821267889,-0.2581150183301813
1133,2020-02-28,Joint,GM,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.04786915965583882,-0.39799050048097667,-0.23637049681343847
1134,2020-02-28,Joint,PFE,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001,32500.5,50000,0.04787531834293034,-0.13195696015357686,0.05146608342764856
1135,2020-02-28,Joint,DD,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.05594412924887102,-0.2664336489646772,-0.10675992314816714
1136,2020-02-28,Joint,DD,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.05594412924887102,-0.2664336489646772,-0.10675992314816714
1137,2020-02-28,Joint,DVN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,error: unknown exception,error: unknown exception,error: unknown exception
1138,2020-02-28,Joint,PFE,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001,32500.5,50000,0.04787531834293034,-0.13195696015357686,0.05146608342764856
1139,2020-02-28,Joint,PFE,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,0.04787531834293034,-0.13195696015357686,0.05146608342764856
1140,2020-02-28,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.3294140828769963,-0.8242327692071678,-0.6594260651922484
1141,2020-02-28,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.3294140828769963,-0.8242327692071678,-0.6594260651922484
1142,2020-02-27,Joint,DD,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.05879741590087147,-0.2975371407263983,-0.09518519936193172
1143,2020-02-27,Joint,PFE,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001,32500.5,50000,0.039882728656766175,-0.10791783230970559,0.03783000636092439
1144,2020-02-27,Joint,DD,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.05879741590087147,-0.2975371407263983,-0.09518519936193172
1145,2020-02-27,Joint,DAL,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.06598880256894814,-0.5536418169358474,-0.4938783962502451
1146,2020-02-27,Joint,PFE,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,0.039882728656766175,-0.10791783230970559,0.03783000636092439
1147,2020-02-27,Joint,DD,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,-0.05879741590087147,-0.2975371407263983,-0.09518519936193172
1148,2020-02-27,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.30352844958791253,-0.8442261464606639,-0.6369286242472034
1149,2020-02-27,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.30352844958791253,-0.8442261464606639,-0.6369286242472034
1150,2020-02-27,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.30352844958791253,-0.8442261464606639,-0.6369286242472034
1151,2020-02-26,Joint,PFE,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,0.04838714680953929,-0.06797235517896542,-0.003456199204598116
1152,2020-02-26,Joint,PFE,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001,32500.5,50000,0.04838714680953929,-0.06797235517896542,-0.003456199204598116
1153,2020-02-26,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.20000004452953873,-0.861867710236198,-0.6468871774372983
1154,2020-02-26,Joint,GPK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001,8000.5,15000,0.07472531157213536,-0.14307170243884282,-0.04654756563268203
1155,2020-02-26,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001,-8000.5,-15000,-0.20000004452953873,-0.861867710236198,-0.6468871774372983
